Sub-question 1.1 (Current situation),,,,,,,,,,,,,,,,,,,,,,,
"What are the atomic concepts, defined as minimal and independent, that constitute the foundations of a programming paradigm, and how can they be formalised mathematically within a coherent framework to ensure their non-contradiction and orthogonality?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Classification Framework,Framework Assessment Rationale,Theoretical Focus,Theoretical Focus Rationale,Academic Rigor,Academic Rigor Assessment,Classification Contribution,Contribution Assessment Rationale,Systematic Analysis,Systematic Analysis Rationale,Full-Text Accessibility,Accessibility Assessment,Publication Language,Language Assessment,Screening judgement,Final Screening Rationale,Screening score
Programming Language Paradigms,Felician Alecu,-,-,-,1,2013,no,"I noted that there was no explicit mention of formal classification systems or taxonomies in the abstract. The abstract was too brief to determine if such frameworks were presented. The reference to paradigms suggested some classification elements, but the formality was unclear.",yes,"I noted that the abstract indicated a theoretical focus on programming paradigms, and the mention of ""way of thinking"" suggested a conceptual rather than implementation focus. This criterion appeared to be met based on the available information.",no,"I could not determine if the paper was peer-reviewed from the abstract alone. The reference to Kuhn's theory suggested academic content, but the rigor level was uncertain.",maybe,"I stated that the abstract mentioned programming paradigms, which is related to classification. However, I was unclear if the paper actually contributed to classification systems. The mention of Kuhn's paradigm shift theory suggested a theoretical approach, but the depth of contribution was uncertain.",no,"I stated that there was no indication of systematic or formal analysis methods in the abstract. The abstract suggested a more conceptual or theoretical discussion, and I could not confirm if formal analysis methods were employed.",no,I could not determine if the full text of the paper was accessible for review based on the information provided in the abstract alone. This created significant uncertainty in the evaluation.,maybe,"I noted that the abstract was in English, suggesting the paper was likely written in English. However, I stated that this was not definitive without seeing the full text.",Exclude,"The extremely brief abstract provides limited insight into the paper's potential contribution to programming language classification, with significant uncertainty surrounding most screening criteria. While theoretical elements are suggested through references to programming paradigms and Kuhn's theory, the lack of detail prevents confident assessment of the study's systematic approach, academic rigor, and classification framework. Multiple critical screening criteria remain unverifiable without additional context.",2.9
Parallelism in declarative languages,C. Chronaki,-,-,-,1,1990,maybe,"The paper appears to present a framework for categorizing programming languages, particularly focusing on declarative languages and their subcategories. It promises to ""compare and contrast"" different language classes, suggesting a systematic classification approach.",yes,"The paper strongly focuses on theoretical aspects of language classification, examining mathematical models, computational paradigms, and theoretical foundations rather than implementation details.",maybe,"Being a thesis, this work likely underwent academic review, though it's not explicitly stated whether it's peer-reviewed. The systematic approach and theoretical focus suggest academic rigor.",yes,"The paper strongly contributes to the understanding of programming language classification systems. It explicitly examines and compares different programming language families (imperative, declarative, functional, logic, and constraint languages), providing a comparative analysis of their characteristics.",maybe,"The abstract indicates a systematic approach to analyzing language families, comparing their advantages and deficiencies, and explaining implementation choices. However, the depth of formal analysis is not entirely clear from the abstract.",maybe,"The abstract indicates that the paper is a thesis, but there is no clear indication of whether the full text is accessible through university libraries, author websites, or public archives. This creates some uncertainty about the accessibility of the full text.",yes,"The abstract is written in English, though there appears to be some corrupted text at the end. This suggests the paper is written in English, meeting the publication language criterion.",Include,"A comprehensive thesis exploring programming language classification across declarative paradigms, offering systematic comparative analysis of functional, logic, and constraint languages with strong theoretical foundations. The work demonstrates rigorous academic approach to understanding computational language families, with particular emphasis on theoretical frameworks and comparative evaluation of programming language characteristics. While presenting a robust theoretical contribution, the study exhibits some uncertainties regarding full-text accessibility and explicit peer-review confirmation.",4.3
Mastering dependencies in multi-language software applications,Hagen Schink,-,-,-,0,2018,no,The paper does not present or analyze formal classification systems for programming languages. It mentions different paradigms but does not develop or evaluate classification frameworks.,no,"The paper focuses on practical challenges of refactoring in multi-language systems rather than theoretical aspects of language classification. While it has theoretical elements, they are not focused on classification.",yes,"The paper appears to be a rigorous academic work with formal evaluation, implementation, and systematic analysis. It is likely peer-reviewed given its structure and content.",no,"While the paper discusses multiple programming paradigms (object-oriented, functional, relational), it focuses on refactoring challenges rather than classification systems. The paradigms are mentioned as context rather than being the subject of classification analysis.",maybe,"The paper does employ systematic analysis, including formal evaluation with 79 participants and implementation of tools. However, this analysis is not focused on language classification.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given that this appears to be an academic paper with formal evaluation and implementation, it is likely available through academic channels.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The paper primarily addresses refactoring challenges in multi-language software systems, falling short of the screening criteria focused on programming language classification. While academically rigorous and written in English, the study does not present a classification framework, theoretical analysis of language categorization, or systematic examination of programming language taxonomies. Consequently, the work does not align with the core requirements for inclusion in the review.",2.5
Exploring New OO-Paradigms with HOL : Aspects and Collaborations,F. Kammüller,-,-,-,2,-,no,"There is no mention of classification systems or taxonomies in the paper, and the focus appears to be on formal analysis using Isabelle/HOL and Coq, so it does not clearly meet this criterion.",yes,"The paper focuses on theoretical analysis using formal methods, so it meets this criterion.",yes,"The paper appears to be a research paper reporting on formal analysis, so it likely meets this criterion.",no,"The paper focuses on analysis of programming languages, but it appears to focus on specific paradigms (collaboration-based and aspect-oriented) rather than classification systems, so it does not clearly meet this criterion.",yes,"The paper uses formal analysis methods (Isabelle/HOL and Coq), so it meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created uncertainty in the evaluation.",yes,"The abstract is in English, so the paper likely meets the publication language criterion.",Exclude,"The abstract describes a formal analysis of programming language paradigms using Isabelle/HOL and Coq, demonstrating systematic and theoretical approaches. However, it lacks clear evidence of contributing to programming language classification systems or presenting formal taxonomies, which are critical screening requirements. Consequently, the paper appears unlikely to meet the core classification-focused criteria.",2.7
Speaking in tongues : the language of Revelation,S. Daniels,-,-,-,2,1992,no,"I determined that the paper does not present or analyze formal classification systems for programming languages, as the discussion of type systems and object-oriented concepts is in the context of database systems rather than language classification.",no,"I found that while the paper has a theoretical focus, it is not on language classification, but rather on type systems and query optimization in object-oriented databases.",yes,"I determined that the paper appears to be an academic work with formal analysis and theoretical foundations, likely peer-reviewed given its technical depth and structure.",no,"I found that the paper does not directly contribute to programming language classification systems, as its primary focus is on query optimization in object-oriented databases rather than language classification.",maybe,"I found that the paper appears to employ systematic analysis methods, particularly in its discussion of type systems and query optimization, but this analysis is not focused on language classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, and stated that this criterion would need to be verified separately.",yes,"I determined that the paper is written in English, meeting this criterion.",Exclude,"The document focuses on object-oriented databases and query optimization, lacking direct contributions to programming language classification systems. Despite being an academically rigorous work in English, it fails to meet key screening criteria related to language classification frameworks and systematic analysis of programming language taxonomies. Consequently, the paper does not align with the systematic review's core objectives.",1.4
"MODULARITY: U: Relations in Role-Based Data Modeling, Navigation and Updates",D. Harkes,-,-,-,0,2015,no,"While the paper presents a systematic analysis of approaches, it's not focused on creating or analyzing classification systems for programming languages themselves. Instead, it analyzes specific language features (relations and navigation).",no,"The paper has a theoretical focus on language design and features, but not specifically on language classification theory.",yes,"The paper appears to be an academic work, with references to previous work and ongoing research. The mention of it being a shortened version of published work suggests peer review.",no,"The paper focuses on analyzing approaches to modeling and navigating relations in programming languages, but does not appear to directly contribute to programming language classification systems. It's more about language features and design.",yes,"The paper explicitly mentions ""systematic analysis"" of approaches, meeting this criterion.",maybe,"The abstract mentions this is a shortened version of work published in [9], suggesting the full text exists, but I could not confirm accessibility from the abstract alone, creating some uncertainty.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The study presents a systematic analysis of programming language features related to relations and navigation, but does not directly contribute to programming language classification systems. While demonstrating academic rigor and theoretical depth, the work fails to meet key criteria focused on classification frameworks and theoretical contributions to language categorization. The research appears more oriented toward language design and feature analysis rather than classification methodology.",2.7
"Programming languages and system architectures : international conference, Zurich, Switzerland, March 2-4, 1994 : proceedings",J. Gutknecht,-,-,-,0,1994,maybe,"I observed that while some of the paper titles mention paradigms and classification concepts, there is no clear indication of formal classification systems or taxonomies. The focus appears to be more on specific languages and their features, so the paper only weakly meets this criterion.",maybe,"I observed that many of the paper titles focus on implementation details and specific language features, while some theoretical aspects are present. However, the majority of the titles appear to be practical/implementation-focused, so the paper only weakly meets this criterion.",maybe,"I noted that the technical nature and academic topics of the paper titles suggest they are likely academic papers, but I could not confirm the peer-review status. Therefore, the paper only partially meets this criterion.",maybe,"I noted that several of the paper titles suggest relevance to programming language classification, such as ""Language and architecture paradigms as object classes"". However, most of the titles focus on specific languages or implementation details rather than classification systems, so the paper only partially meets this criterion.",no,"I could not determine the analytical approach used in the papers from the titles alone, so there is major uncertainty around this criterion.",no,"I could not determine the full-text accessibility of the paper from the abstract alone, as it appears to be a collection of paper titles rather than a single paper abstract. There is major uncertainty around this criterion.",yes,"I determined that the paper titles appear to be in English, and therefore the paper meets this criterion.",Exclude,"The collection of paper titles suggests limited alignment with programming language classification criteria, with most entries focusing on specific language implementations and technical details rather than systematic classification frameworks. While some titles hint at theoretical aspects of programming languages, the overall content appears more oriented toward practical language features and technological developments, thus falling short of the desired theoretical and systematic classification approach.",2.5
An Adaptive Language Approach For Domain Analysis,D. Hanirex,-,-,-,0,2014,no,"While the paper mentions different programming paradigms (functional, object-oriented, concurrency), it does not appear to present a formal classification system or taxonomy, so it does not clearly meet this criterion.",no,"The paper appears to focus on practical implementation of a system, emphasizing metaprogramming and integration rather than theoretical aspects, so it does not meet this criterion.",maybe,"The writing style and structure suggest this might be a research paper, but the abstract's quality and lack of clear methodology raise concerns about whether this criterion is met.",maybe,"The paper discusses programming paradigms and their integration, but it focuses more on implementation of a system rather than classification systems, so it only partially meets this criterion.",no,"The abstract suggests a practical implementation approach, and there is no clear indication of systematic or formal analysis methods, so the paper does not appear to meet this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which introduced uncertainty that affected the final score.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a system for integrating multiple programming paradigms, but lacks the theoretical depth and systematic analysis required for a comprehensive classification study. While touching on programming language concepts, the work appears more focused on practical implementation than rigorous theoretical exploration of language classification frameworks. Consequently, the paper does not fully align with the specified screening criteria for a systematic review of programming language classification.",2.7
Əɂɕʉ Ɂ Ɍȿɏɇɉʌɉƚɂə Ⱥȼɍɉɇⱥɍɇɉƚɉ Ɉɋɉƚɋⱥɇɇɂɋɉȼⱥɇɂə Ⱦʌə Ɋⱥɂɋⱥȼɉɍʉɂ Ɋɂɋɍȿɇ Ɍɉɋⱥȼʌȿɇɂə,Ȼ Ɂ Ɒɟɥɟɯɨɜ,-,-,-,0,-,yes,The paper presents a formal classification system with specific categories and discusses theoretical foundations for program classification.,yes,"The paper strongly focuses on theoretical aspects, discussing program classification theory, paradigms, and formal constructs.",maybe,"While the paper appears to be academic in nature, discussing theoretical foundations and formal analysis, the mixed language presentation raises some concerns about the peer-review status.",yes,"The paper does contribute to programming language classification, presenting four program classes (non-interacting, object-oriented, simple process, and reactive system) and discussing their theoretical basis.",yes,"The abstract suggests a theoretical and systematic approach to classification, mentioning ""sound theoretical basis"" and formal constructs like hyperfunctions and finite state machine automata.",maybe,"The abstract does not provide information about the accessibility of the full text, which creates uncertainty about whether this criterion is met.",maybe,"The abstract appears to be partially in English and partially in what seems to be Cyrillic script (possibly Russian), which raises concerns about meeting the English/French requirement.",Exclude,"The study presents a comprehensive theoretical framework for programming language classification, offering systematic analysis of program classes and formal constructs. However, significant concerns arise from the mixed language presentation, which potentially violates the English/French publication requirement and creates uncertainty about full-text accessibility and academic rigor. Despite strong theoretical contributions, these methodological issues substantially reduce the likelihood of meeting all screening criteria.",3.2
Modeling Languages : A new Paradigm of Programming ∗,T. Hürlimann,-,-,-,0,1998,no,"The paper presents a new language design approach, but it does not appear to present or analyze formal classification systems, taxonomies, or theoretical frameworks for categorizing programming languages.",no,"The paper does focus on theoretical aspects, such as the syntactic and semantic separation of declarative and algorithmic parts, but this is about language design rather than classification theory.",maybe,"The formal structure and technical content of the paper suggest that it is likely an academic work, but I could not be certain about the peer review status without more information.",no,"The paper focuses on presenting a new type of programming language, but it does not appear to contribute to the understanding of programming language classification systems.",no,"The abstract mentions ""advantages"" and ""examples"", but it does not indicate the use of systematic or formal analysis methods. The paper appears to be more descriptive than systematic.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets the publication language criterion.",Exclude,"The abstract describes a novel programming language design approach that separates declarative and algorithmic knowledge, but fails to meet most screening criteria related to classification systems and frameworks. While the paper appears academically rigorous and is written in English, it does not contribute to understanding programming language classification, lacks systematic analysis of classification methods, and focuses on language design rather than theoretical classification approaches.",2.5
Design of a modular multiparadigm programming language for teaching programming concepts,Antonio Augusto Rodrigues de Albuquerque Maranhão,-,-,-,0,2004,no,"While the paper mentions ""major well-established paradigms"" and their combinations, it does not appear to present a formal classification system. The focus is on implementation rather than classification frameworks, so it does not clearly meet this criterion.",maybe,"The paper has a strong implementation focus, and while it discusses theoretical aspects of paradigms, it emphasizes practical implementation and teaching applications. Therefore, it only partially meets this criterion.",yes,"The paper appears to be a research paper with formal analysis, discussing theoretical foundations and systematic development. It likely meets this criterion.",maybe,"The paper discusses programming paradigms and their combinations, but it focuses more on language implementation and design rather than classification systems. Therefore, it only partially meets this criterion.",maybe,"The paper presents a systematic approach to language development, but this systematicity is focused on implementation rather than classification analysis. Therefore, it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The paper partially addresses programming language classification by discussing paradigms and their combinations, but primarily focuses on implementation and design rather than systematic classification frameworks. While demonstrating academic rigor and discussing theoretical aspects of programming paradigms, the work does not strongly align with the core requirements of a comprehensive classification study. The emphasis on practical implementation and teaching applications limits its direct contribution to theoretical language classification systems.",2.9
Combining OO and Functional Language Concepts,Qiang Zhen,-,-,-,0,2000,no,"The paper presents a core language combining features from multiple paradigms, but it does not present a classification system or taxonomy for programming languages. Therefore, it does not meet this criterion.",no,"The paper has a strong theoretical focus on combining programming paradigms, but the theory is about language design rather than language classification. Therefore, it does not meet this criterion in the intended sense.",yes,"The paper appears to be a formal academic paper with theoretical foundations, discussing technical concepts and formal semantics. Therefore, it likely meets this criterion.",no,"The paper focuses on combining programming paradigms rather than classifying languages, and while it discusses multiple languages, it does not analyze their classification. Therefore, it does not clearly meet this criterion.",maybe,"The paper appears to use formal analysis methods, such as operational semantics, and shows a systematic approach to combining language features. Therefore, it partially meets this criterion, but not in the context of classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The paper presents a technical exploration of programming language paradigms, combining features from multiple languages, but does not directly contribute to programming language classification systems or frameworks. While academically rigorous and theoretically focused, the study fails to meet key screening criteria related to language classification, taxonomies, and systematic analysis of language categorization. The work is more oriented toward language design and feature integration rather than classification methodology.",2.7
A Position Paper on Compile-time Program Analysis,Barbara G Ryder,-,-,-,0,1996,no,"The paper does not explicitly present a formal classification system for programming languages. While it mentions different programming paradigms, it is focused on program analysis rather than language classification frameworks.",yes,"The paper has a theoretical focus, discussing fundamental challenges in program analysis and the need for theoretical unification across paradigms. However, this theoretical focus is not specifically on language classification.",yes,"The paper appears to be an academic work, with formal citations and discussion of research challenges. It seems to be a position paper or research vision piece, which suggests some academic rigor, though it may not be a traditional research paper.",maybe,"The paper discusses program analysis across different programming paradigms (functional, imperative, logical, object-oriented) and calls for unification of analysis approaches. While this relates to classification, it is more focused on analysis methods than language classification systems specifically.",maybe,"The paper appears to employ systematic analysis in discussing program analysis approaches, but it is more focused on challenges and future directions rather than presenting a systematic analysis of language classification.",maybe,"The abstract does not provide direct information about the accessibility of the full text, but given the academic nature and citations to other works, it is likely available through academic channels, though this remains uncertain.",yes,"The paper is clearly written in English, meeting this criterion.",Exclude,"The document primarily addresses program analysis challenges across programming paradigms, with limited direct engagement in programming language classification systems. While academically rigorous and written in English, the text does not substantively contribute to formal language classification frameworks or systematic analysis of language categorization. Consequently, the work only marginally aligns with the specified screening criteria for programming language classification research.",2.7
Investigations Into Abstraction And Concurrency,R. Jagadeesan,-,-,-,1,1991,no,"The paper doesn't present classification systems or taxonomies for programming languages. It develops theoretical frameworks for understanding specific programming paradigms, but not for classifying languages themselves.",yes,"The paper has a strong theoretical focus, dealing with abstract semantics and mathematical formalisms rather than implementation details.",yes,"The paper appears to be a thesis with peer-reviewed components (noted as joint work with other researchers), meeting this criterion.",no,"While the paper discusses programming language semantics and models, it doesn't directly contribute to classification systems. Instead, it focuses on developing abstract semantics for specific programming paradigms (functional, logic, and concurrent programming).",yes,"The paper strongly meets this criterion, employing formal mathematical analysis through domain theory and presenting systematic relationships between abstract and operational views of programs.",maybe,"The abstract appears to be from a thesis, which is typically accessible through academic libraries or institutional repositories. However, without explicit confirmation, there is some uncertainty about the full-text accessibility.",yes,"The abstract is written in English, clearly meeting this criterion.",Exclude,"The thesis presents a rigorous theoretical exploration of programming language semantics using domain theory, but does not directly contribute to programming language classification systems. While demonstrating strong academic rigor and systematic analysis, the work fails to meet key criteria related to language classification frameworks and taxonomies. Consequently, the paper does not align with the systematic review's primary objectives.",2.5
A visual language for specifying and programming tangible user interfaces.,"R. Jacob, Orit Shaer",-,-,-,1,2011,no,"While the paper presents a formal framework for describing tangible user interfaces, it's not focused on programming language classification. The framework is for UI elements rather than programming languages.",no,"While the paper has theoretical components, they're focused on UI design and implementation rather than programming language classification theory.",yes,"The paper appears to be a dissertation with formal evaluation methods and systematic analysis, meeting this criterion.",no,"The paper focuses on developing a user interface description language (UIDL) for tangible user interfaces. While it does involve classification of interface elements, it doesn't specifically contribute to programming language classification systems.",maybe,"The paper does employ systematic analysis methods, including formal evaluation using ""cognitive dimensions for notations"" and benchmark specifications. However, this analysis isn't focused on programming language classification.",maybe,"The abstract appears to be from a dissertation, which typically means the full text is accessible through academic channels. However, this isn't explicitly confirmed in the abstract.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The dissertation focuses on tangible user interfaces and their description language, fundamentally diverging from programming language classification systems. Despite demonstrating academic rigor and systematic analysis, the work fails to meet critical screening criteria related to programming language classification frameworks and theoretical contributions. Consequently, the paper does not align with the systematic review's core objectives.",1.4
Chameleon: The Gist of Dynamic Programming Languages,"Samuele Buro, Michele Pasqua, Isabella Mastroeni",-,-,-,0,2019,no,"The paper does not appear to present a formal classification system or taxonomy, as Chameleon is a core language model rather than a classification framework.",maybe,"The paper has a theoretical component in defining a core language, but the focus is on static analysis and error prevention rather than classification theory.",yes,"The technical nature and presentation of the paper suggest it is an academic work, and the formal approach to language modeling indicates it is likely a peer-reviewed paper.",maybe,"The paper presents Chameleon, a core language summarizing dynamic programming features, which contributes to understanding programming language characteristics, but it is not primarily focused on classification systems.",maybe,"The paper appears to use formal analysis methods in developing Chameleon, but the focus seems to be on static analysis rather than language classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract describes a technical paper about a core programming language model for dynamic languages, but it does not primarily focus on programming language classification systems or taxonomies. While the work demonstrates academic rigor and theoretical depth, it falls short of meeting the specific screening criteria related to language classification frameworks and systematic classification analysis.",2.9
1 Self-composable Programming A Programming Paradigm for Constructing Reusable Software Patterns,Hiun Heinai,-,-,-,0,-,no,"While the paper discusses programming paradigms and presents a new approach, it doesn't appear to present or analyze formal classification systems or taxonomies for categorizing programming languages. The focus is on implementation and practical application.",no,"While the paper has theoretical components, its primary focus appears to be on practical implementation and application rather than theoretical aspects of language classification.",yes,"The paper appears to be a formal academic work with theoretical foundations and empirical evaluation, meeting this criterion.",no,The paper focuses on programming paradigms and modularity but doesn't directly contribute to programming language classification systems. It presents a new programming approach (Self-composable Programming) but doesn't analyze or compare classification systems.,maybe,"The paper includes some systematic evaluation (""we evaluated Self in the context of a web application by measuring and estimating required SLOC""), but this analysis isn't focused on classification systems.",maybe,"The abstract appears to be from an ACM publication, suggesting it's likely accessible through academic databases or libraries. However, this isn't explicitly confirmed in the abstract.",yes,"The paper is written in English, meeting this criterion.",Exclude,"The paper presents a novel programming approach focused on modularity and software engineering, but does not directly contribute to programming language classification systems. While academically rigorous and written in English, the study lacks systematic analysis of language classification frameworks and theoretical foundations for categorizing programming languages. Consequently, the work does not align closely with the core screening criteria for the systematic review.",2.7
Advances in Distributed Computing (ADC) and Colloquium on Combining Paradigms for Software Development (CCPSD),"S. Abramsky, T. Maibaum, Colloquium on Trees in Algebra",-,-,-,1,1991,no,The abstract does not present or analyze classification systems or taxonomies for programming languages. It appears to focus on various technical aspects of programming languages and formal methods.,maybe,"The paper is heavily theoretical, focusing on formal methods, verification, and theoretical aspects of programming languages. However, this theoretical focus is not directed toward classification systems.",yes,"The abstract suggests this is a technical academic work, likely peer-reviewed given its formal nature and technical depth.",no,"The abstract does not appear to focus on programming language classification systems. While it discusses various programming concepts and formal methods, there's no clear indication of classification work.",maybe,"The paper does employ formal and systematic analysis methods, as evidenced by mentions of ""formal specification,"" ""verification methods,"" and ""theoretical view."" However, these are not applied to classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which is a significant uncertainty.",yes,"The abstract appears to be written in English, meeting this criterion.",Exclude,"The abstract presents a collection of technical papers focused on formal methods and programming language concepts, but lacks direct engagement with programming language classification systems. Despite demonstrating academic rigor and theoretical depth, the work does not meet the core screening criteria related to classification frameworks or systematic analysis of language categorization. Consequently, the abstract does not align sufficiently with the specified research focus.",2.5
Object-Oriented Frameworks as Basis for Modularity in Program-Language Design,"M. H. Emden, S. C. Somosan",-,-,-,0,2006,no,"While the paper mentions different programming paradigms (functional, logic, object-oriented), it does not appear to present a formal classification system. Instead, it focuses on how to implement paradigms through frameworks, so it does not clearly meet this criterion.",no,"The paper appears to focus more on practical implementation and application, emphasizing ""management of software development"" and ""units of deployment"", rather than theoretical aspects of language classification. Therefore, it does not meet this criterion.",maybe,"The writing style and content suggest an academic paper, but without more information about the publication venue, I could not be certain of peer review. Therefore, it only partially meets this criterion.",maybe,"The paper discusses programming paradigms and their relationship to languages, but it focuses more on implementation and practical application rather than classification systems. Therefore, it only partially meets this criterion.",no,"The abstract suggests a practical approach rather than a systematic or formal analysis, and it does not indicate the use of rigorous analytical methods. Therefore, it does not clearly meet this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a practical approach to programming paradigms and frameworks, but lacks a systematic theoretical framework for language classification. While discussing programming paradigms, the text focuses more on implementation strategies than rigorous classification systems, thus failing to meet several key screening criteria for a theoretical research paper.",2.7
A Causal Model anda Declarative ProgrammingLanguagefor Concurrent,"SystemsKarsten, Bohlmann",-,-,-,0,1996,no,"The paper presents formal frameworks for understanding concurrent systems and their semantics, but not specifically for classifying programming languages. It focuses on modeling and semantics rather than classification taxonomies.",yes,"The paper is strongly theoretical, focusing on mathematical models, semantics, and theoretical foundations rather than implementation details.",yes,"The paper appears to be a rigorous academic work, presenting formal theoretical foundations and comparative analysis with other approaches. The technical depth and academic style suggest peer-reviewed work.",no,"The paper focuses on concurrent systems and programming language semantics rather than classification systems specifically. While it discusses theoretical foundations of programming languages, it does not directly contribute to classification systems.",yes,"The paper clearly employs systematic and formal analysis methods, using mathematical models, denotational semantics, and formal frameworks.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given the technical nature and academic style, it is likely that the paper is from a peer-reviewed source, but this cannot be confirmed without more information.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract presents a rigorous theoretical work on concurrent systems and programming language semantics, demonstrating strong academic methodology and systematic analysis. However, the paper does not directly address programming language classification systems, falling short of key screening criteria focused on classification frameworks and taxonomies. While academically robust, the work diverges from the specific research focus on language classification.",2.9
Programming Paradigms and Computational Thinking,G. Michaelson,-,-,-,0,2018,yes,"The paper appears to analyze and critique existing classification frameworks (programming paradigms), questions the traditional paradigm-based classification approach, and proposes an alternative ""unitary paradigm of computational thinking"", meeting this criterion well.",yes,"The paper is strongly focused on theoretical aspects of language classification, discussing conceptual frameworks and paradigm theory, and clearly meets this criterion.",maybe,"The writing style and content suggest an academic paper, and references to ""international curricula"" and theoretical analysis indicate academic rigor, so the paper likely meets this criterion, though peer-review status is not confirmed.",yes,"The paper directly addresses programming language classification through paradigms, discusses organizing principles for understanding programming languages, and strongly meets this criterion.",maybe,"The abstract suggests a theoretical analysis of paradigms, but the methodology is not explicitly described, so the paper partially meets this criterion with some uncertainty.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Include,"The abstract demonstrates strong alignment with theoretical programming language classification criteria, presenting a nuanced exploration of programming paradigms and their conceptual frameworks. It meets key screening requirements through its English language, theoretical focus, and systematic approach to analyzing programming language classification systems. The study offers a critical examination of existing paradigm-based classification methods, proposing an alternative unitary computational thinking perspective.",4.6
Programming in Persistent Higher-Order Languages,"R. Connor, R. Morrison, M. Atkinson, F. Matthes, Joachim W. Schmidt",10.1007/978-3-642-78565-8_24,https://doi.org/10.1007/978-3-642-78565-8_24,-,1,1993,no,"While the paper discusses language characteristics, it does not appear to present a formal classification system or taxonomy. Instead, it focuses more on comparing features and implications, so it does not clearly meet this criterion.",yes,"The paper has a strong focus on theoretical aspects, such as type systems and programming paradigms, and discusses fundamental language characteristics rather than implementation details. Therefore, it meets this criterion well.",maybe,"The technical nature and theoretical focus of the paper suggest that it is an academic work, but the peer-review status cannot be confirmed from the abstract. Therefore, the paper likely meets this criterion, but with some uncertainty.",maybe,"The paper discusses programming language characteristics, such as the difference between persistent and traditional languages, but it focuses more on type systems and programming paradigms rather than classification systems. Therefore, it only partially meets this criterion.",maybe,"The abstract suggests a theoretical analysis of type systems, but the methodology is not explicitly described as systematic or formal. Therefore, the paper only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract presents a theoretical exploration of programming language type systems, focusing on persistent languages and their implications for programming paradigms. While demonstrating academic rigor and theoretical depth, the text does not directly address classification systems or frameworks, creating uncertainty about its alignment with specific screening criteria. The work appears more oriented toward understanding type system characteristics than developing a systematic language classification approach.",2.9
Mixing Classes and Prototypes : An Object Oriented Approach to Semantic Image modelling,Youssef Lahlou,-,-,-,0,1997,no,"While the paper mentions different programming paradigms, it does not appear to present a formal classification system. The focus is on comparing approaches for image modeling, so it does not clearly meet this criterion.",maybe,"The paper does discuss theoretical aspects of programming paradigms, but it is specifically focused on their application to image modeling. Therefore, it only partially meets this criterion.",maybe,"The writing style and technical content suggest an academic paper, but without more information about peer review, I could not be certain that it meets this criterion. It likely meets this criterion, but with some uncertainty.",maybe,"The paper discusses different programming paradigms (class-based vs prototype-based), but it focuses more on their application to image modeling rather than classification systems. Therefore, it only partially meets this criterion.",maybe,"The abstract suggests a comparative analysis of programming paradigms, but the methodology is not explicitly described as systematic or formal. Therefore, it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this factor was considered neutral in the assessment.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract discusses programming paradigms in the context of image modeling, but lacks a clear focus on systematic language classification frameworks. While the paper touches on theoretical aspects of class-based and prototype-based programming, it does not present a comprehensive classification system or demonstrate rigorous systematic analysis of programming language categorization.",2.9
