Sub-question 1.2 (Contribution),,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can we define a set of conceptual primitives that enable programming paradigms to be reconstructed in a minimal and orthogonal manner, and how can we formally guarantee these properties within a unified mathematical framework?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Fundamental Analysis,Fundamental Analysis Rationale,Formal Framework,Formal Framework Assessment,Paradigm Theory,Paradigm Theory Rationale,Language Design Principles,Design Principles Assessment,Theoretical Foundation,Theoretical Foundation Rationale,Implementation Focus,Implementation Focus Assessment,Theoretical Contribution,Contribution Assessment Rationale,Publication Language,Language Assessment,Full-Text Accessibility,Accessibility Assessment,Screening judgement,Final Screening Rationale,Screening score
Practical Foundations of Mathematics,P. Taylor,10.5860/choice.37-4551,https://doi.org/10.5860/choice.37-4551,Cambridge Studies in Advanced Mathematics,190,1999,yes,"The work analyzes fundamental programming language constructs at a theoretical level, including type theory and logical foundations.",yes,"The abstract strongly indicates a formal mathematical framework, discussing constructive logic, type theory, and categorical structures for formalization.",yes,"The abstract discusses fundamental programming paradigms, particularly the propositions-as-types paradigm and its relationship to computation.",yes,"The abstract discusses fundamental design principles in programming languages, particularly through the lens of constructive logic and type theory.",yes,"The work is heavily theoretical, focusing on mathematical foundations of computer science and logic, including type theory and constructive logic.",yes,"The abstract suggests a theoretical focus, with implementation aspects (like functional programs) serving to support theoretical understanding.",yes,"The work is primarily theoretical, focusing on mathematical foundations rather than practical applications.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The abstract appears to be from a book review rather than a research paper, which creates uncertainty about the full-text accessibility.",Include,"A comprehensive theoretical exploration of programming language foundations, focusing on constructive logic, type theory, and mathematical principles underlying computer science. The work demonstrates rigorous engagement with fundamental design principles, paradigm theory, and formal frameworks, while providing an in-depth analysis of computational constructs through a mathematical lens. Despite being a book review, the text exhibits strong theoretical contributions across multiple screening criteria.",4.6
Naturally Embedded Query Languages,"V. Tannen, P. Buneman, L. Wong",10.1007/3-540-56039-4_38,https://doi.org/10.1007/3-540-56039-4_38,International Conference on Database Theory,211,1992,yes,"The paper analyzes fundamental programming language constructs through structural recursion and examines computational primitives at a theoretical level, strongly meeting this criterion.",yes,"The paper uses category theory, cartesian categories, and strong monads as formal mathematical frameworks for analysis, clearly meeting this criterion.",yes,"The paper examines programming paradigm foundations through structural recursion and provides comparative theoretical analysis across different sublanguages, meeting this criterion well.",yes,"The paper explicitly investigates fundamental design principles through ""structural recursion on sets"" and examines ""conceptual restrictions"" in language design, strongly meeting this criterion.",yes,"The paper presents a formal theoretical foundation using category theory and algebraic perspectives, including ""equational theories"" and ""categorical ideas,"" strongly meeting this criterion.",yes,"While implementation aspects are discussed (optimizations), they are clearly secondary to the theoretical contributions and serve to support the theoretical framework, meeting this criterion.",yes,"The paper focuses on theoretical understanding, including semantic foundations, categorical constructions, and algebraic perspectives, strongly meeting this criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"This research presents a rigorous theoretical investigation of programming language design principles, utilizing advanced mathematical frameworks like category theory and structural recursion to explore fundamental computational constructs. The study offers a comprehensive examination of language paradigms, semantic foundations, and theoretical contributions that deeply analyze programming language properties through a sophisticated mathematical lens. Its focus on theoretical understanding, formal frameworks, and paradigmatic analysis demonstrates a profound scholarly approach to computational language research.",4.9
A Glimpse of Paradise,H. Aït-Kaci,10.1007/3-540-54141-1_2,https://doi.org/10.1007/3-540-54141-1_2,East/West Database Workshop,5,1990,yes,"The paper meets the fundamental analysis criterion, as it analyzes fundamental programming language constructs at a theoretical level, proposing basic abstractions for programming.",maybe,"The abstract does not explicitly mention formal mathematical frameworks or verification approaches, but it suggests a theoretical approach to language design through abstract structures.",yes,"The paper strongly meets the paradigm theory criterion, as it directly addresses programming paradigms, specifically discussing the integration of declarative and imperative programming styles.",yes,"The paper strongly meets the language design principles criterion, as it explicitly discusses fundamental design principles for programming languages, including the integration of different programming paradigms and the proposal of ""primeval abstractions.""",maybe,"The paper partially meets the theoretical foundation criterion, as it proposes theoretical foundations (abstract data, control, and constraint structures), but it's not clear if these are supported by formal mathematical frameworks.",yes,"The paper meets the implementation focus criterion, as the abstract suggests the implementation discussion will serve theoretical contributions rather than being the primary focus.",yes,"The paper meets the theoretical contribution criterion, as it appears to focus on theoretical contributions to language design rather than practical implementations.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The abstract demonstrates a strong theoretical approach to programming language design, focusing on integrating declarative and imperative paradigms through fundamental abstractions. It proposes a framework for understanding programming language constructs at a conceptual level, with particular emphasis on abstract data, control, and constraint structures. The work appears to contribute significantly to theoretical understanding of programming language principles, though the depth of formal mathematical framework remains somewhat uncertain.",4.6
Towards a Unified Programming Language,O. Madsen,10.1007/3-540-45102-1_1,https://doi.org/10.1007/3-540-45102-1_1,European Conference on Object-Oriented Programming,15,2000,maybe,"The paper analyzes fundamental language constructs (patterns, virtual procedures, classes, etc.) at a theoretical level, though the depth of theoretical analysis is not entirely clear from the abstract.",no,The abstract does not explicitly mention formal mathematical frameworks or verification approaches. The discussion appears more conceptual than formal.,yes,"The paper explicitly focuses on programming paradigms, their integration, and comparative analysis across object-oriented, imperative-functional, logic programming, concurrent programming, and prototype-based programming.",maybe,"The paper discusses language design principles, particularly focusing on the integration of different paradigms and unified language design. While it does not explicitly mention orthogonality or minimality, it addresses fundamental design principles.",no,"While the paper discusses theoretical aspects of language design, it does not clearly indicate a formal theoretical foundation or mathematical framework.",maybe,"The paper discusses the BETA language implementation, but uses this to support broader theoretical contributions about paradigm integration and unified language design.",maybe,"The paper appears to make theoretical contributions about language design and paradigm integration, though it seems to focus more on practical implementation (BETA language) than pure theory.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Exclude,"The research explores programming language design principles by examining paradigm integration across multiple computational approaches, with a focus on theoretical contributions to language development. While demonstrating strong engagement with fundamental language constructs and paradigm theory, the study appears more conceptual than formally rigorous, presenting a nuanced approach to understanding programming language foundations. The work centers on the BETA language as a case study for unified programming paradigm design, offering insights into theoretical language construction.",4
Logical foundations of object-oriented and frame-based languages,"M. Kifer, G. Lausen, James Wu",10.1145/210332.210335,https://doi.org/10.1145/210332.210335,JACM,1866,1995,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, including object identity, inheritance, polymorphic types, and encapsulation.",yes,"The paper explicitly presents a formal mathematical framework (F-logic) with ""model-theoretic semantics and a sound and complete resolution-based proof theory.""",yes,"The paper directly examines programming paradigm foundations, specifically the object-oriented paradigm, comparing it to relational programming through formal logic.",yes,"The paper directly addresses fundamental design principles in programming languages, specifically focusing on formalizing object-oriented and frame-based language features.",yes,"The paper provides a clear theoretical foundation through F-logic, which is explicitly described as having formal semantics and proof theory.",maybe,"The paper appears to focus on theoretical aspects rather than implementation, though it mentions ""programming with a deductive object-oriented language."" The implementation discussion appears to support theoretical contributions.",yes,"The paper's primary focus is theoretical, proposing a novel formalism and analyzing fundamental aspects of programming paradigms.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper is likely accessible through academic channels, though this cannot be determined from the abstract alone.",Include,"A rigorous theoretical exploration of programming language design principles, presenting a novel formal framework (F-logic) that systematically analyzes object-oriented and frame-based language constructs through mathematical semantics and proof theory. The study provides a comprehensive examination of fundamental programming paradigms, offering a deep theoretical contribution to understanding computational language foundations.",4.9
Foundations of Total Functional Data-Flow Programming,"B. T. Widemann, M. Lepper",10.4204/EPTCS.153.10,https://doi.org/10.4204/EPTCS.153.10,MSFP,8,2014,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly in the context of stream programming and paradigm unification.",yes,"The paper appears to be heavily grounded in formal methods, with strong evidence of formal mathematical framework usage, including ""coalgebraic coinduction,"" ""relational model of stateful computation,"" and ""set theory.""",yes,"The paper directly examines programming paradigms, specifically comparing and unifying functional reactive and data-flow graph paradigms, which is a central focus of the work.",yes,"The paper clearly addresses fundamental design principles in programming languages, specifically focusing on unifying functional and data-flow programming paradigms. The mention of ""mathematical first principles"" and ""strongly compositional semantics"" suggests deep engagement with language design principles.",yes,"The paper explicitly mentions ""mathematical first principles"" and describes a formal theoretical foundation based on set theory and coalgebraic coinduction.",maybe,"While the abstract mentions a ""novel stream programming language,"" the focus appears to be on theoretical foundations rather than implementation details.",yes,"The paper appears to be primarily theoretical, focusing on foundational aspects and mathematical frameworks rather than practical implementations or patterns.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"This research presents a rigorous theoretical exploration of programming language paradigms, grounded in mathematical first principles and formal frameworks like coalgebraic coinduction. The study offers a novel approach to unifying functional and data-flow programming styles through a set-theoretic foundation, demonstrating deep engagement with fundamental language design principles and theoretical computational analysis.",4.9
On integration of programming paradigms,A. Mycroft,10.1145/234528.234735,https://doi.org/10.1145/234528.234735,CSUR,5,1996,yes,"The study analyzes fundamental programming language constructs at a theoretical level, particularly focusing on how different paradigms can be integrated and their semantic properties.",yes,"The paper presents a formal algebraic framework for analyzing paradigm integration, including mathematical notation and semantic embeddings (θi : Si → T).",yes,"The paper explicitly focuses on programming paradigm foundations and their integration, comparing different paradigms (imperative, object-oriented, concurrent, functional, logic programming).",yes,"The paper directly addresses fundamental design principles by examining how different programming paradigms can be integrated, including discussion of constructors and semantic embeddings.",yes,"The abstract demonstrates a strong theoretical foundation, using mathematical concepts and formal semantics to analyze paradigm integration. The discussion of embeddings and semantic properties shows rigorous theoretical underpinning.",yes,"The paper uses implementation examples (C, Prolog, Haskell) to support theoretical analysis rather than focusing on practical implementation.",yes,"The paper appears to make a theoretical contribution to understanding paradigm integration, focusing on formal properties rather than practical implementation details.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The presence of citations and formal academic style suggests the full text of the paper is likely accessible, though this cannot be determined from the abstract alone.",Include,"This research presents a rigorous theoretical exploration of programming paradigm integration, utilizing formal mathematical frameworks to analyze semantic embeddings and construct interactions across different programming languages. The study demonstrates a deep theoretical contribution by examining fundamental design principles, paradigm foundations, and computational primitives through a sophisticated algebraic lens. Its comprehensive approach to understanding programming language interactions provides significant insights into the theoretical underpinnings of computational systems.",4.9
Component-Based Description of Programming Languages,Peter D. Mosses,10.14236/EWIC/VOCS2008.23,https://doi.org/10.14236/EWIC/VOCS2008.23,BCS International Academic Conference,18,2008,yes,"The paper analyzes fundamental language constructs and their formal description at a theoretical level, meeting this criterion.",yes,"The paper explicitly focuses on ""formal description of programming languages"" and discusses formal syntax and semantics frameworks, strongly meeting this criterion.",maybe,"While the paper discusses language description frameworks, it does not explicitly compare programming paradigms, partially meeting this criterion.",maybe,"The paper discusses formal language descriptions and novel features for future languages, which relates to fundamental design principles, though it does not explicitly mention orthogonality or minimality.",yes,"The paper is centered on formal theoretical foundations for programming languages and their description, clearly meeting this criterion.",yes,"The paper mentions tool support, but this is presented as supporting theoretical contributions rather than being the primary focus, meeting this criterion.",yes,"The paper focuses on theoretical foundations and formal description methods rather than practical aspects, strongly meeting this criterion.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full text of the paper is likely accessible through academic channels, given its formal academic nature, though this cannot be determined from the abstract alone.",Include,"The research presents a rigorous theoretical exploration of programming language description frameworks, focusing on formal syntax, semantics, and novel design principles. It demonstrates strong alignment with theoretical foundations, formal frameworks, and fundamental analysis of computational constructs, while proposing innovative approaches to language description methodologies. The study's emphasis on theoretical contributions and systematic language design principles makes it a compelling candidate for in-depth scholarly review.",4.6
Four Concurrency Primitives for Haskell,Enno Scholz,-,-,-,15,1995,yes,"The paper analyzes fundamental programming language constructs (concurrency primitives) at a theoretical level, focusing on their minimal set and systematic construction.",yes,"The paper presents a formal monadic framework for concurrency, with ""very simple semantics"" and systematic construction of communication paradigms, suggesting a rigorous mathematical framework.",yes,"The paper examines functional programming paradigms and provides comparative theoretical analysis across different languages (Haskell, Concurrent ML, Facile, Erlang).",yes,"The paper explicitly discusses minimizing the number of concurrency primitives and maximizing functional abstractions in language design, which directly relates to minimality and orthogonality principles.",yes,"The paper appears to have a strong theoretical foundation, presenting a formal monadic approach to concurrency and discussing systematic construction of communication paradigms.",yes,"The implementation serves to support theoretical contributions, as evidenced by the statement that ""All programs presented in the course of the paper have been executed using this implementation"" to validate the theoretical framework.",yes,"The paper focuses on theoretical contributions to programming language design and concurrency theory, rather than practical aspects alone.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The paper appears to be an academic publication with a DFG grant, suggesting likely accessibility of the full text.",Include,"A rigorous theoretical exploration of programming language design principles, focusing on monadic concurrency frameworks with systematic construction of communication paradigms across functional programming languages. The research demonstrates strong theoretical foundations by examining fundamental language constructs, minimizing complexity, and providing comparative paradigm analysis. The study's emphasis on formal mathematical frameworks and theoretical contributions to programming language design makes it particularly significant.",4.9
A Calculus of Gamma Programs,"C. Hankin, D. L. Métayer, David Sands",10.1007/3-540-57502-2_57,https://doi.org/10.1007/3-540-57502-2_57,International Workshop on Languages and Compilers for Parallel Computing,68,1992,yes,The paper analyzes fundamental language constructs (sequential and parallel operators) at a theoretical level.,yes,"The paper appears to use formal mathematical concepts (conditional multiset rewriting) and studies properties of operators, suggesting a formal framework.",yes,"The paper explicitly examines a programming paradigm (Gamma) and its properties, particularly regarding parallelism.",yes,"The paper discusses Gamma as a ""minimal language,"" directly addressing the minimality design principle.",yes,The focus on formal properties of sequential and parallel operators and their transformations indicates a theoretical foundation. The mathematical nature of multiset rewriting further supports this.,yes,The discussion of implementation aspects (target architecture adaptation) appears to serve theoretical contributions rather than being the primary focus.,yes,"The paper focuses on theoretical properties and transformations between sequential and parallel compositions, rather than practical applications. While it mentions practical applications, these appear to be secondary to the theoretical contributions.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A theoretical exploration of the Gamma programming language demonstrates strong alignment with language design principles, formal mathematical frameworks, and paradigm theory. The research focuses on fundamental computational constructs, particularly sequential and parallel operators, with a rigorous approach to analyzing programming language properties. The study's emphasis on theoretical contributions and mathematical foundations suggests a comprehensive examination of programming language design at a conceptual level.",4.6
